administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0,0.0,4,0.0,-1.6094379124341003,-1.6094379124341003,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
0,0.0,0,0.0,26,6.775366090936392,0.0,-3.649658740960655,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
2,4.59511985013459,0,0.0,19,5.908082938168931,-3.228926160721702,-2.9565115604007097,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
0,0.0,0,0.0,20,7.266827347520591,-3.6969116258112007,-3.575550768806933,0.5877866649021191,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
0,0.0,0,0.0,33,6.542471960506805,-4.261580481598014,-3.4420193761824103,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1,4.143134726391533,0,0.0,29,6.361302477572996,-3.9424822129128545,-3.7722610630529876,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
3,4.465908118654584,0,0.0,11,7.24422751560335,0.0,-3.816712825623821,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
0,0.0,0,0.0,3,2.833213344056216,-3.2188758248682006,-2.120263536200091,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
4,2.70805020110221,0,0.0,11,5.8289456176102075,0.0,-4.135166556742356,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
0,0.0,0,0.0,1,0.0,-1.6094379124341003,-1.6094379124341003,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
0,0.0,0,0.0,57,7.578145472419466,-3.2675409968494815,-2.9187712324178627,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,42,7.262628600974241,0.0,-2.9187712324178627,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
2,4.859812404361672,0,0.0,13,6.054439346269371,-4.382026634673881,-3.270169119255751,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,-1.6094379124341003,-1.6094379124341003,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
3,5.857933154483459,0,0.0,34,7.358830898342354,0.0,-4.017383521085972,3.077312260546414,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0,0.0,0,0.0,7,6.1070228877422545,0.0,-3.4112477175156566,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
