,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0.0,0,0.0,4.0,0.0,0.2,0.2,0.0,May,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
1,0.0,0.0,0,0.0,26.0,876.0,0.0,0.026,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
2,2.0,99.4,0,0.0,19.0,368.0,0.0396,0.052,0.0,Sep,Windows,Google Chrome,Asia,Twitter,Returning_Visitor,False,False
3,0.0,0.0,0,0.0,20.0,1432.0,0.0248,0.028,1.8,Dec,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,True
4,0.0,0.0,0,0.0,33.0,694.0,0.0141,0.032,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
5,1.0,63.0,0,0.0,29.0,579.0,0.0194,0.023,0.0,Mar,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
6,3.0,87.0,0,0.0,11.0,1400.0,0.0,0.022,0.0,Mar,Android,Google Chrome,Western Europe,Google search,New_Visitor,True,False
7,0.0,0.0,0,0.0,,1134.0,0.0033,0.018,0.0,Dec,MACOS,Safari,North America,Youtube channel,New_Visitor,False,False
8,0.0,0.0,0,0.0,3.0,17.0,0.04,0.12,0.0,June,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
9,4.0,15.8,0,0.0,11.0,340.0,0.0,0.016,0.0,Aug,Windows,Microsoft Edge,South America,Instagram Page,New_Visitor,False,False
10,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Dec,Windows,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,False,False
11,0.0,0.0,0,0.0,57.0,1955.0,0.0381,0.054,0.0,May,Windows,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,False,False
12,0.0,0.0,0,0.0,42.0,1426.0,0.0,0.054,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
13,4.0,149.25,0,0.0,27.0,1091.0,0.0,0.01,89.7,Mar,Android,Google Chrome,South America,Instagram ads,Returning_Visitor,False,True
14,2.0,129.75,0,0.0,13.0,426.0,0.0125,0.038,0.0,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
15,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Nov,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
16,3.0,350.2,0,0.0,34.0,1570.0,0.0,0.018,21.7,May,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
17,0.0,0.0,0,0.0,7.0,449.0,0.0,0.033,0.0,Mar,MACOS,Safari,South America,Google search,Returning_Visitor,False,False
18,3.0,26.0,4,320.0,59.0,2448.0,0.0029,0.019,0.0,Dec,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,False,False
19,4.0,,2,13.5,41.0,1396.0,0.0,0.016,0.0,May,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,False,False
20,0.0,0.0,0,0.0,14.0,1368.0,0.0,0.038,0.0,May,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,False,False
21,0.0,,0,0.0,14.0,1017.0,0.0,0.002,0.0,Dec,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,False,False
22,,85.96666667,0,0.0,,1073.0,0.0,0.014,0.0,Dec,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
